Taboo search duration: ;0.0036544; Problem size: ;9; Goal value: ;2
Taboo search duration: ;0.0028437; Problem size: ;9; Goal value: ;3
Taboo search duration: ;0.002792; Problem size: ;9; Goal value: ;2
Taboo search duration: ;0.0026937; Problem size: ;9; Goal value: ;29
Taboo search duration: ;0.0028634; Problem size: ;9; Goal value: ;29
Taboo search duration: ;0.0026988; Problem size: ;9; Goal value: ;4
Taboo search duration: ;0.0032648; Problem size: ;9; Goal value: ;4
Taboo search duration: ;0.0027041; Problem size: ;9; Goal value: ;3
Taboo search duration: ;0.0039426; Problem size: ;9; Goal value: ;3
Taboo search duration: ;0.0028664; Problem size: ;9; Goal value: ;3
Taboo search duration: ;0.0026602; Problem size: ;9; Goal value: ;3
Taboo search duration: ;0.0027875; Problem size: ;9; Goal value: ;2
Taboo search duration: ;0.0028506; Problem size: ;9; Goal value: ;0
Taboo search duration: ;0.0027633; Problem size: ;9; Goal value: ;4
Taboo search duration: ;0.0027118; Problem size: ;9; Goal value: ;2
Taboo search duration: ;0.0027243; Problem size: ;9; Goal value: ;5
Taboo search duration: ;0.002981; Problem size: ;9; Goal value: ;2
Taboo search duration: ;0.003105; Problem size: ;9; Goal value: ;4
Taboo search duration: ;0.0031994; Problem size: ;9; Goal value: ;2
Taboo search duration: ;0.0032915; Problem size: ;9; Goal value: ;3
Taboo search duration: ;0.0054382; Problem size: ;9; Goal value: ;29
Taboo search duration: ;0.0034276; Problem size: ;9; Goal value: ;4
Taboo search duration: ;0.0044414; Problem size: ;9; Goal value: ;4
Taboo search duration: ;0.0035864; Problem size: ;9; Goal value: ;2
Taboo search duration: ;0.0028299; Problem size: ;9; Goal value: ;2
