Taboo search duration: ; 0.0009856 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0008949 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.000899 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0008926 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0008863 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0008757 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0008799 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.000896 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0009426 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.000955 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0009041 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0010477 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0010522 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0008869 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0009687 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0008953 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0009398 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.000879 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0008841 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0009613 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0008921 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.000944 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0008795 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.00089 ;Problem size: 6 ; Goal value: ;0
Taboo search duration: ; 0.0008841 ;Problem size: 6 ; Goal value:; 0
