Simulated annealing duration: ;0.0011969; Problem size: ;12; Goal value: ;4
Simulated annealing duration: ;0.0018202; Problem size: ;12; Goal value: ;4
Simulated annealing duration: ;0.0014311; Problem size: ;12; Goal value: ;2
Simulated annealing duration: ;0.0010541; Problem size: ;12; Goal value: ;8
Simulated annealing duration: ;0.0052385; Problem size: ;12; Goal value: ;2
Simulated annealing duration: ;0.0014052; Problem size: ;12; Goal value: ;6
Simulated annealing duration: ;0.0009958; Problem size: ;12; Goal value: ;6
Simulated annealing duration: ;0.0009899; Problem size: ;12; Goal value: ;0
Simulated annealing duration: ;0.0011054; Problem size: ;12; Goal value: ;10
Simulated annealing duration: ;0.0011445; Problem size: ;12; Goal value: ;4
Simulated annealing duration: ;0.001001; Problem size: ;12; Goal value: ;8
Simulated annealing duration: ;0.0009854; Problem size: ;12; Goal value: ;0
Simulated annealing duration: ;0.0010005; Problem size: ;12; Goal value: ;8
Simulated annealing duration: ;0.0010036; Problem size: ;12; Goal value: ;2
Simulated annealing duration: ;0.0010029; Problem size: ;12; Goal value: ;6
Simulated annealing duration: ;0.0010032; Problem size: ;12; Goal value: ;10
Simulated annealing duration: ;0.0009962; Problem size: ;12; Goal value: ;0
Simulated annealing duration: ;0.0009931; Problem size: ;12; Goal value: ;8
Simulated annealing duration: ;0.0010051; Problem size: ;12; Goal value: ;6
Simulated annealing duration: ;0.0009977; Problem size: ;12; Goal value: ;6
Simulated annealing duration: ;0.0009923; Problem size: ;12; Goal value: ;4
Simulated annealing duration: ;0.0010272; Problem size: ;12; Goal value: ;10
Simulated annealing duration: ;0.0009933; Problem size: ;12; Goal value: ;8
Simulated annealing duration: ;0.0010197; Problem size: ;12; Goal value: ;8
Simulated annealing duration: ;0.001005; Problem size: ;12; Goal value: ;12
