Simulated annealing duration: ;0.0007073; Problem size: ;9; Goal value: ;0
Simulated annealing duration: ;0.0006765; Problem size: ;9; Goal value: ;3
Simulated annealing duration: ;0.0006609; Problem size: ;9; Goal value: ;4
Simulated annealing duration: ;0.000618; Problem size: ;9; Goal value: ;0
Simulated annealing duration: ;0.0006214; Problem size: ;9; Goal value: ;0
Simulated annealing duration: ;0.0006227; Problem size: ;9; Goal value: ;4
Simulated annealing duration: ;0.0006159; Problem size: ;9; Goal value: ;4
Simulated annealing duration: ;0.0006142; Problem size: ;9; Goal value: ;0
Simulated annealing duration: ;0.0006177; Problem size: ;9; Goal value: ;0
Simulated annealing duration: ;0.0006169; Problem size: ;9; Goal value: ;0
Simulated annealing duration: ;0.0006117; Problem size: ;9; Goal value: ;0
Simulated annealing duration: ;0.0006675; Problem size: ;9; Goal value: ;0
Simulated annealing duration: ;0.0006192; Problem size: ;9; Goal value: ;0
Simulated annealing duration: ;0.0006211; Problem size: ;9; Goal value: ;6
Simulated annealing duration: ;0.0006211; Problem size: ;9; Goal value: ;3
Simulated annealing duration: ;0.0006844; Problem size: ;9; Goal value: ;0
Simulated annealing duration: ;0.000615; Problem size: ;9; Goal value: ;3
Simulated annealing duration: ;0.0006571; Problem size: ;9; Goal value: ;0
Simulated annealing duration: ;0.0006223; Problem size: ;9; Goal value: ;2
Simulated annealing duration: ;0.0006106; Problem size: ;9; Goal value: ;0
Simulated annealing duration: ;0.0006112; Problem size: ;9; Goal value: ;0
Simulated annealing duration: ;0.000616; Problem size: ;9; Goal value: ;4
Simulated annealing duration: ;0.000616; Problem size: ;9; Goal value: ;0
Simulated annealing duration: ;0.0006181; Problem size: ;9; Goal value: ;0
Simulated annealing duration: ;0.0006524; Problem size: ;9; Goal value: ;0
