Simulated annealing duration: ;0.0004848; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0005238; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0008265; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0008178; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0007499; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004635; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004607; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004661; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004632; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004629; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004651; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.000464; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004642; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004632; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004607; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004643; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004611; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004613; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004668; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004652; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.000464; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004614; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004645; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004631; Problem size: ;6; Goal value: ;0
Simulated annealing duration: ;0.0004651; Problem size: ;6; Goal value: ;0
