Simulated annealing duration: ;0.0015265; Problem size: ;24; Goal value: ;20
Simulated annealing duration: ;0.0013859; Problem size: ;24; Goal value: ;30
Simulated annealing duration: ;0.0013543; Problem size: ;24; Goal value: ;38
Simulated annealing duration: ;0.0012741; Problem size: ;24; Goal value: ;28
Simulated annealing duration: ;0.0012495; Problem size: ;24; Goal value: ;16
Simulated annealing duration: ;0.0012317; Problem size: ;24; Goal value: ;32
Simulated annealing duration: ;0.0012406; Problem size: ;24; Goal value: ;22
Simulated annealing duration: ;0.0012172; Problem size: ;24; Goal value: ;16
Simulated annealing duration: ;0.0012289; Problem size: ;24; Goal value: ;16
Simulated annealing duration: ;0.0012346; Problem size: ;24; Goal value: ;30
Simulated annealing duration: ;0.0012329; Problem size: ;24; Goal value: ;26
Simulated annealing duration: ;0.0012232; Problem size: ;24; Goal value: ;10
Simulated annealing duration: ;0.001229; Problem size: ;24; Goal value: ;24
Simulated annealing duration: ;0.0012364; Problem size: ;24; Goal value: ;18
Simulated annealing duration: ;0.0012739; Problem size: ;24; Goal value: ;24
Simulated annealing duration: ;0.0012508; Problem size: ;24; Goal value: ;38
Simulated annealing duration: ;0.0012351; Problem size: ;24; Goal value: ;16
Simulated annealing duration: ;0.0012395; Problem size: ;24; Goal value: ;10
Simulated annealing duration: ;0.0012681; Problem size: ;24; Goal value: ;30
Simulated annealing duration: ;0.001232; Problem size: ;24; Goal value: ;18
Simulated annealing duration: ;0.0012656; Problem size: ;24; Goal value: ;24
Simulated annealing duration: ;0.0012713; Problem size: ;24; Goal value: ;16
Simulated annealing duration: ;0.0012667; Problem size: ;24; Goal value: ;12
Simulated annealing duration: ;0.0013086; Problem size: ;24; Goal value: ;44
Simulated annealing duration: ;0.0012454; Problem size: ;24; Goal value: ;22
