Brute force duration: ;0.0825836; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.120617; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.634559; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.197856; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.310424; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.319631; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.299119; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.0741393; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.0981236; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.0115968; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.293496; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.294737; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.219006; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.134958; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.0899428; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.109958; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.0263772; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.236833; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.18871; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.0920975; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.292691; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.196118; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.169538; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.0653924; Problem size: ;12; Goal value: ;0
Brute force duration: ;0.367615; Problem size: ;12; Goal value: ;0
