Xi ; 4.50000 4.00000 3.00000 1.00000 3.00000 ; Y ;125.25000 ; iterations ;1000
Xi ; 4.50000 4.00000 3.00000 0.50000 3.00000 ; Y ;114.50000 ; iterations ;1000
Xi ; 4.50000 4.00000 3.00000 0.50000 3.00000 ; Y ;114.50000 ; iterations ;1000
Xi ; 4.50000 4.00000 3.00000 0.50000 3.00000 ; Y ;114.50000 ; iterations ;1000
Xi ; 4.50000 4.00000 3.00000 0.50000 3.50000 ; Y ;107.75000 ; iterations ;1000
Xi ; 4.50000 4.00000 2.50000 0.50000 3.50000 ; Y ;95.00000 ; iterations ;1000
Xi ; 4.50000 4.00000 2.50000 0.50000 3.50000 ; Y ;95.00000 ; iterations ;1000
Xi ; 4.50000 4.00000 2.50000 0.50000 3.50000 ; Y ;95.00000 ; iterations ;1000
Xi ; 4.50000 4.00000 2.50000 0.50000 3.50000 ; Y ;95.00000 ; iterations ;1000
Xi ; 4.50000 4.00000 2.50000 0.50000 3.50000 ; Y ;95.00000 ; iterations ;1000
Xi ; 4.50000 4.00000 2.50000 0.50000 3.50000 ; Y ;95.00000 ; iterations ;1000
Xi ; 4.50000 4.00000 2.50000 0.50000 3.50000 ; Y ;95.00000 ; iterations ;1000
Xi ; 4.50000 4.00000 2.00000 0.50000 3.50000 ; Y ;82.75000 ; iterations ;1000
Xi ; 4.50000 4.00000 2.00000 0.50000 3.50000 ; Y ;82.75000 ; iterations ;1000
Xi ; 4.50000 4.00000 2.00000 0.50000 3.50000 ; Y ;82.75000 ; iterations ;1000
Xi ; 4.50000 4.00000 2.00000 0.50000 3.50000 ; Y ;82.75000 ; iterations ;1000
Xi ; 4.50000 4.00000 2.00000 0.50000 3.50000 ; Y ;82.75000 ; iterations ;1000
Xi ; 4.50000 4.00000 2.00000 0.50000 3.50000 ; Y ;82.75000 ; iterations ;1000
Xi ; 4.50000 4.00000 2.00000 0.50000 3.50000 ; Y ;82.75000 ; iterations ;1000
