Xi ; 5.00000 4.00000 3.50000 1.00000 3.00000 ; Y ;133.25000 ; iterations ;100
Xi ; 5.00000 4.00000 3.50000 1.00000 2.50000 ; Y ;120.50000 ; iterations ;100
Xi ; 5.00000 4.00000 3.50000 1.00000 2.50000 ; Y ;120.50000 ; iterations ;100
Xi ; 5.00000 4.00000 3.50000 1.00000 2.50000 ; Y ;120.50000 ; iterations ;100
Xi ; 5.00000 4.00000 3.50000 1.00000 2.50000 ; Y ;120.50000 ; iterations ;100
Xi ; 5.00000 4.00000 3.50000 1.50000 2.50000 ; Y ;111.75000 ; iterations ;100
Xi ; 4.50000 4.00000 3.50000 1.50000 2.50000 ; Y ;97.00000 ; iterations ;100
Xi ; 4.50000 4.00000 3.50000 1.50000 2.50000 ; Y ;97.00000 ; iterations ;100
Xi ; 4.50000 4.00000 3.50000 1.50000 2.50000 ; Y ;97.00000 ; iterations ;100
Xi ; 4.50000 4.00000 3.50000 1.50000 2.50000 ; Y ;97.00000 ; iterations ;100
Xi ; 4.50000 4.00000 2.50000 1.50000 2.50000 ; Y ;91.00000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 1.50000 2.50000 ; Y ;76.75000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 1.50000 2.50000 ; Y ;76.75000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.50000 2.00000 2.50000 ; Y ;68.50000 ; iterations ;100
Xi ; 4.00000 4.00000 2.00000 4.00000 2.50000 ; Y ;68.25000 ; iterations ;100
Xi ; 4.00000 4.00000 2.00000 4.00000 2.50000 ; Y ;68.25000 ; iterations ;100
Xi ; 4.00000 4.00000 2.00000 4.00000 2.50000 ; Y ;68.25000 ; iterations ;100
Xi ; 4.00000 4.00000 2.00000 4.00000 2.50000 ; Y ;68.25000 ; iterations ;100
Xi ; 4.00000 4.00000 2.00000 4.00000 2.50000 ; Y ;68.25000 ; iterations ;100
Xi ; 4.00000 4.00000 2.00000 4.00000 2.50000 ; Y ;68.25000 ; iterations ;100
